Date,Open,High,Low,Close,Adj Close,Volume
2021-07-20,1819.082031,1836.998047,1722.050781,1787.510742,1787.510742,17368597636
2021-07-21,1786.276245,2025.680420,1759.023315,1990.970825,1990.970825,21253359756
2021-07-22,1994.822876,2044.116455,1954.297852,2025.202759,2025.202759,17495480331
2021-07-23,2025.105713,2129.441162,2000.436279,2124.776611,2124.776611,16200392492
2021-07-24,2123.961182,2197.649414,2107.323486,2189.218750,2189.218750,16057446601
2021-07-25,2187.145508,2194.438232,2108.829834,2191.373779,2191.373779,14566483636
2021-07-26,2191.309814,2428.817139,2177.329590,2233.366699,2233.366699,29614324233
2021-07-27,2230.197021,2316.950195,2154.731201,2298.333496,2298.333496,23067480378
2021-07-28,2302.081299,2341.777832,2250.914063,2296.545410,2296.545410,18991302378
2021-07-29,2299.011963,2396.451904,2273.404785,2380.956787,2380.956787,16313373113
2021-07-30,2382.545166,2469.704834,2322.337158,2466.961426,2466.961426,20212848934
2021-07-31,2461.575684,2551.161133,2423.816162,2536.209961,2536.209961,18001710283
2021-08-01,2530.462891,2695.429443,2520.931885,2561.852051,2561.852051,22697987055
2021-08-02,2557.774658,2665.730957,2511.375244,2610.153320,2610.153320,22162754104
2021-08-03,2609.413086,2630.314209,2449.353516,2502.349609,2502.349609,22696753413
2021-08-04,2508.544922,2764.443604,2463.469482,2724.619873,2724.619873,25038698173
2021-08-05,2725.669678,2840.430664,2540.684082,2827.328857,2827.328857,31057928075
2021-08-06,2827.503418,2944.903320,2727.792725,2890.941650,2890.941650,26528577879
2021-08-07,2891.707520,3170.229736,2868.535645,3157.238770,3157.238770,33081467129
2021-08-08,3161.232666,3184.604004,2951.747314,3013.732666,3013.732666,28433638008
2021-08-09,3012.885742,3185.701172,2900.926025,3167.856201,3167.856201,31983260936
2021-08-10,3163.050049,3228.940674,3059.229004,3141.691162,3141.691162,27605221710
2021-08-11,3142.830322,3269.209473,3122.916504,3164.245117,3164.245117,26729035052
2021-08-12,3164.175781,3236.314697,2984.166992,3043.414307,3043.414307,25403699845
2021-08-13,3049.001221,3324.671631,3037.676025,3322.211670,3322.211670,23868866254
2021-08-14,3322.762695,3329.281006,3214.519775,3265.443359,3265.443359,19860862133
2021-08-15,3266.276123,3320.084229,3117.791748,3310.504150,3310.504150,22166205051
2021-08-16,3309.422119,3333.994873,3139.778564,3156.509521,3156.509521,23080039949
2021-08-17,3149.380371,3288.812744,2996.468262,3014.845947,3014.845947,25509056745
2021-08-18,3011.963623,3124.976074,2959.028320,3020.089844,3020.089844,21539248425
2021-08-19,3019.126953,3184.435547,2963.150146,3182.702148,3182.702148,19546290360
2021-08-20,3182.162598,3298.246582,3178.103760,3286.935303,3286.935303,20885619828
2021-08-21,3286.931641,3307.351563,3209.866211,3226.083984,3226.083984,18113977628
2021-08-22,3226.227295,3272.733154,3142.007080,3242.115479,3242.115479,15983278460
2021-08-23,3241.357422,3373.384277,3235.851318,3319.257324,3319.257324,20511110509
2021-08-24,3324.855469,3358.688232,3154.121338,3172.456299,3172.456299,20131028906
2021-08-25,3174.269775,3248.727295,3086.114990,3224.915283,3224.915283,18902728235
2021-08-26,3228.747314,3249.655273,3060.228760,3100.325439,3100.325439,17405668117
2021-08-27,3096.406006,3281.840576,3064.485107,3270.600830,3270.600830,18489602004
2021-08-28,3275.104492,3284.845947,3217.403564,3244.403320,3244.403320,13709633698
2021-08-29,3246.770996,3283.235596,3158.840332,3227.002686,3227.002686,13296586731
2021-08-30,3227.192627,3346.581055,3151.444580,3224.374268,3224.374268,19306924485
2021-08-31,3227.758057,3466.992188,3195.216553,3433.732666,3433.732666,27280502987
2021-09-01,3430.762451,3836.867432,3387.408447,3834.828125,3834.828125,30070890104
2021-09-02,3825.027832,3830.711426,3726.750488,3790.989990,3790.989990,24387397330
2021-09-03,3787.486572,4022.469238,3712.678223,3940.614746,3940.614746,26207765094
2021-09-04,3937.910156,3969.448730,3837.931152,3887.828369,3887.828369,20806963328
2021-09-05,3886.331055,3979.186523,3838.487305,3952.133545,3952.133545,18371468576
2021-09-06,3951.520752,3968.426514,3868.994385,3928.379395,3928.379395,18674691198
2021-09-07,3926.527588,3945.314209,3062.222412,3426.394287,3426.394287,39131346397
2021-09-08,3428.378174,3559.121338,3224.764893,3497.315186,3497.315186,31738430771
2021-09-09,3452.548340,3562.992676,3400.517090,3427.340088,3427.340088,24118055831
2021-09-10,3425.564941,3512.571289,3157.059082,3211.505859,3211.505859,22355974097
2021-09-11,3209.030518,3346.526367,3208.961914,3270.278076,3270.278076,18627122934
2021-09-12,3270.291748,3462.468262,3235.109375,3410.134521,3410.134521,16810411424
2021-09-13,3407.471924,3426.502197,3121.514160,3285.511719,3285.511719,22721552948
2021-09-14,3286.316406,3429.169678,3273.630859,3429.169678,3429.169678,19125420848
2021-09-15,3431.217285,3615.282715,3365.913086,3615.282715,3615.282715,17548551804
2021-09-16,3613.073730,3673.310791,3489.805664,3571.294922,3571.294922,20093903064
2021-09-17,3569.568115,3589.305176,3356.449951,3398.538818,3398.538818,17722363229
2021-09-18,3397.422852,3540.807617,3371.892334,3432.018311,3432.018311,15995220233
2021-09-19,3433.287842,3448.322021,3286.172363,3329.447998,3329.447998,14257609743
2021-09-20,3329.670654,3343.325439,2940.839111,2958.993408,2958.993408,27371684581
2021-09-21,2977.310547,3101.697510,2676.407471,2764.431152,2764.431152,30405062665
2021-09-22,2763.209229,3089.083008,2741.440674,3077.867920,3077.867920,23742102645
